question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,"The FY2018 capital expenditure amount for 3M is $1,577 million.
[3M_2020_10K_c65]",$1577.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150380909442901,1.0,0.2,0.3333333333333333,False,metrics-generated,3M_2018_10K,True
Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,"The year-end FY2018 net PP&E for 3M was $9.333 billion.

[3M_2019_10K_c238]",$8.70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2997306883335113,1.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Is 3M a capital-intensive business based on FY2022 data?,Not enough information in the provided context.,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780487804878,0.0,0.1113167256116867,0.0,0.0,0.0,True,domain-relevant,3M_2022_10K,True
"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","The provided excerpts do not contain information regarding 3M's operating margin change for FY2022. The available text covers fiscal years 2013 through 2019 and a period ended June 30, 2023 (Q2), but does not explicitly state the specific drivers of the operating margin change for the full year 2022.

Not enough information in the provided context.","Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7871944904327393,0.0,0.0,0.0,True,domain-relevant,3M_2022_10K,True
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",Not enough information in the provided context.,The consumer segment shrunk by 0.9% organically.,5,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.25,0.1333333333333333,0.0,0.1193579137325286,0.0,0.0,0.0,True,novel-generated,3M_2022_10K,True
"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","Not enough information in the provided context. The excerpts do not contain 3M's quick ratio for Q2 of FY2023, nor do they define or provide data to calculate it (which requires current assets minus inventory divided by current liabilities).","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1846153846153846,0.0,0.5299415588378906,0.0,0.0,0.0,True,domain-relevant,3M_2023Q2_10Q,True
Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,Not enough information in the provided context.,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0,0.07395800948143,0.0,0.0,0.0,True,domain-relevant,3M_2023Q2_10Q,True
Does 3M maintain a stable trend of dividend distribution?,"Yes, 3M maintained a stable trend of dividend distribution by increasing its dividend for the 62nd consecutive year. [3M_2019_10K_c41]","Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years",5,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.25,0.3043478260869565,0.0,0.8098151683807373,1.0,0.0,0.0,False,novel-generated,3M_2023Q2_10Q,True
What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,Not enough information in the provided context.,24.26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355588138103485,0.0,0.0,0.0,True,metrics-generated,ACTIVISIONBLIZZARD_2019_10K,False
What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,Not enough information in the provided context.,1.9%,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1332289576530456,0.0,0.2,0.0,True,metrics-generated,ACTIVISIONBLIZZARD_2019_10K,False
You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,Not enough information in the provided context.,0.66,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146951094269752,0.0,0.4,0.0,True,metrics-generated,ADOBE_2015_10K,False
What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,Not enough information in the provided context.,65.4%,5,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.2,0.0,0.0,0.176207885146141,0.0,0.0,0.0,True,metrics-generated,ADOBE_2016_10K,False
What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,Not enough information in the provided context.,0.83,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1174640730023384,0.0,0.2,0.0,True,metrics-generated,ADOBE_2017_10K,False
"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",Not enough information in the provided context.,No the operating margins of Adobe have recently declined from 36.8% in FY 2021 to 34.6% in FY2022. A drop by 2.2% in a year.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571428571,0.0,0.0855480730533599,0.0,0.0,0.0,True,domain-relevant,ADOBE_2022_10K,False
Does Adobe have an improving Free cashflow conversion as of FY2022?,Not enough information in the provided context.,"Yes, the FCF conversion (using net income as the denominator) for Adobe has improved by ~13% from 143% in 2021 to 156% in 2022",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0484509319067001,0.0,0.2,0.0,True,novel-generated,ADOBE_2022_10K,False
What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,0 [AES_2018_10K_c144],0,5,0.0,0.0,1.0,0.6666666666666666,1.0,0.6,1.0,0.6,0.5,0.3333333333333333,0.0,0.541557788848877,1.0,0.2,0.3333333333333333,False,domain-relevant,AES_2022_10K,True
