question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,"The provided excerpts do not contain the FY2018 capital expenditure amount for 3M. The excerpt [3M_2020_10K_c85] only provides data for years ended December 31, 2020 and 2019.

Not enough information in the provided context.",$1577.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340749263763427,1.0,0.4,0.5714285714285715,False,metrics-generated,3M_2018_10K,True
Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,Not enough information in the provided context.,$8.70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186996720731258,0.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Is 3M a capital-intensive business based on FY2022 data?,"Based on the provided excerpts, there is no information regarding 3M's capital intensity for FY2022. The documents discuss capital spending trends (e.g., $1.7 billion to $1.9 billion expected in 2019) and debt levels but do not provide a metric or analysis defining whether 3M is a ""capital-intensive"" business specifically based on FY2022 data [3M_2018_10K_c66].

Not enough information in the provided context.","No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970873786407766,0.0,0.3603306412696838,1.0,0.4,0.5714285714285715,False,domain-relevant,3M_2022_10K,True
"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",Not enough information in the provided context. The excerpts only contain data for fiscal years 2013 through 2020; there is no information regarding FY2022 operating margin changes or a discussion of whether operating margin is a useful metric for 3M as of that year.,"Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919540229885057,0.0,0.772492527961731,0.0,0.2,0.0,False,domain-relevant,3M_2022_10K,True
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",Not enough information in the provided context.,The consumer segment shrunk by 0.9% organically.,5,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,1.0,0.1333333333333333,0.0,0.1193578094244003,0.0,0.0,0.0,False,novel-generated,3M_2022_10K,True
"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","Not enough information in the provided context. The excerpts do not contain 3M's quick ratio for Q2 of FY2023, nor do they provide the specific cash equivalents or current assets required to calculate it. Additionally, while one excerpt mentions a ""strong liquidity profile"" generally, it does not link this assessment specifically to the quick ratio or the second quarter of fiscal year 2023.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573033707865168,0.0,0.5425899028778076,0.0,0.2,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,Not enough information in the provided context.,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0,0.0739579051733017,0.0,0.2,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Does 3M maintain a stable trend of dividend distribution?,"Yes, 3M maintains a stable trend of dividend distribution.
[3M_2017_10K_c152]
[3M_2018_10K_c56]
[3M_2019_10K_c49]","Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years",5,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,0.5,0.1333333333333333,0.0,0.7722605466842651,1.0,0.0,0.0,False,novel-generated,3M_2023Q2_10Q,True
What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,0 [AES_2022_10K_c248],0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.5018917918205261,1.0,0.0,0.0,False,domain-relevant,AES_2022_10K,True
Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,"Not enough information in the provided context.

The provided excerpts contain financial data for fiscal years 2013, 2014, 2015, 2016, 2017, 2018, and 2020/2021, but they do not include any data for FY2022. Additionally, the excerpts describe inventory valuation methods (average-cost) and balances as of December 31, 2015 and 2014, but do not provide beginning or ending inventory figures for FY2022 required to calculate an inventory turnover ratio.",AES has converted inventory 9.5 times in FY 2022.,5,0.0,0.0,0.5,0.3333333333333333,0.5,0.6,0.5,0.6,0.25,0.0249999999999999,0.0,0.4437251687049866,0.0,0.2,0.0,False,domain-relevant,AES_2022_10K,True
"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",Not enough information in the provided context.,-0.02,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054513681679964,0.0,0.0,0.0,False,metrics-generated,AES_2022_10K,True
What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,Not enough information in the provided context.,93.86,5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.1285624802112579,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,Not enough information in the provided context.,30.8%,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176606267690658,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?","Amazon's FY2019 net income attributable to shareholders was $11,588 million.
[AMAZON_2020_10K_c70]",$11588.00,5,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.25,0.0,0.0,0.3364700675010681,1.0,1.0,1.0,False,metrics-generated,AMAZON_2019_10K,True
What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,"Based on the provided excerpts, Amcor's year-end FY2020 net accounts receivable (Trade receivables) was $1,935 million.

[AMCOR_2023_10K_c81]",$1616.00,5,0.0,0.0,1.0,0.3333333333333333,1.0,0.4,1.0,0.4,0.3333333333333333,0.0,0.0,0.3231896460056305,1.0,0.4,0.5714285714285715,False,metrics-generated,AMCOR_2020_10K,True
What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,Not enough information in the provided context.,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327868852459016,0.0,0.0650468468666076,0.0,0.2,0.0,False,novel-generated,AMCOR_2022_8K_dated-2022-07-01,True
"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.","Not enough information in the provided context. The excerpts do not contain Amcor's quick ratio figures for FY2023 or FY2022, nor do they provide the necessary balance sheet data (current assets excluding inventory and current liabilities) to calculate it. Additionally, while the quick ratio is a standard liquidity metric used by financial analysts, the provided text focuses on forward-looking statements, non-GAAP measures, risk factors regarding consumer demand, and shareholder returns rather than detailed historical liquidity analysis or specific ratio calculations.",The quick ratio has slightly improved from 0.67 times to 0.69 times between FY 2023 and FY 2022.(3.4% jump),5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943396226415094,0.0,0.5722694396972656,0.0,0.2,0.0,False,domain-relevant,AMCOR_2023_10K,True
