question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,"The provided excerpts do not contain the FY2018 capital expenditure amount for 3M in a cash flow statement format. They mention that ""Capital spending is discussed in more detail later in MD&A"" and provide a general range of $1.3 billion to $1.5 billion for 2016, but no specific figure for 2018 is available in the text.

Not enough information in the provided context.",$1577.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873071044683456,0.0,0.8,0.0,False,metrics-generated,3M_2018_10K,True
Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,Not enough information in the provided context.,$8.70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186996217817068,0.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Is 3M a capital-intensive business based on FY2022 data?,Not enough information in the provided context.,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780487804878,0.0,0.1113167256116867,0.0,0.0,0.0,False,domain-relevant,3M_2022_10K,True
"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","For FY2022, the provided excerpts do not contain information regarding 3M's operating margin change or metrics for that specific fiscal year. The excerpt [3M_2018_10K_c52] discusses changes in operating income margins comparing full years 2017 and 2018, while the excerpt [GENERALMILLS_2023_annualreport_c58] provides data for General Mills for FY2022 and FY2023. Therefore, there is no information available to answer how operating margin changed for 3M in FY2022 or whether it is a useful metric based on that specific year's data.

Not enough information in the provided context.","Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.7207375764846802,1.0,0.6,0.7499999999999999,False,domain-relevant,3M_2022_10K,True
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",Not enough information in the provided context.,The consumer segment shrunk by 0.9% organically.,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1333333333333333,0.0,0.1193579137325286,0.0,0.2,0.0,False,novel-generated,3M_2022_10K,True
"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","Not enough information in the provided context. The excerpts do not contain financial data for Q2 of FY2023, nor do they provide a quick ratio or explain why it is relevant to measure liquidity.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135593220338983,0.0,0.2909099459648132,0.0,0.2,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,Not enough information in the provided context.,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0,0.07395800948143,0.0,0.0,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Does 3M maintain a stable trend of dividend distribution?,"Yes, 3M maintains a stable trend of dividend distribution.
[3M_2015_10K_c23]
[3M_2016_10K_c34]
[3M_2018_10K_c46]
[3M_2022_10K_c45]","Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years",5,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,1.0,0.1224489795918367,0.0,0.7572084665298462,1.0,0.0,0.0,False,novel-generated,3M_2023Q2_10Q,True
What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,0 [AES_2022_10K_c367],0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5263420343399048,1.0,0.0,0.0,False,domain-relevant,AES_2022_10K,True
Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,"Not enough information in the provided context.

The excerpts do not contain inventory data for AES Corporation (such as Cost of Goods Sold or average inventory balances) required to calculate an inventory turnover ratio, nor do they state that conventional inventory management is not meaningful for the company. The excerpt [AES_2019_10K_c131] mentions ""Cost of Sales—Non-Regulated"" but does not explicitly label it as Cost of Goods Sold (COGS) in a way that allows calculation without further assumptions, and there is no inventory balance data for FY2022. The excerpt [INTEL_2022_10K_c127] discusses Intel's inventory policies, not AES Corporation's.",AES has converted inventory 9.5 times in FY 2022.,5,0.5,1.0,0.5,0.3333333333333333,0.5,0.6,0.5,0.6,0.5,0.0695652173913043,0.0,0.539212167263031,1.0,0.2,0.3333333333333333,False,domain-relevant,AES_2022_10K,True
