question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,"The FY2018 capital expenditure amount for 3M is $1,461 million.
[3M_2015_10K_c138]",$1577.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271253168582916,1.0,0.8,0.888888888888889,False,metrics-generated,3M_2018_10K,True
Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,Not enough information in the provided context.,$8.70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186996720731258,0.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Is 3M a capital-intensive business based on FY2022 data?,Not enough information in the provided context.,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780487804878,0.0,0.1113166436553001,0.0,0.0,0.0,False,domain-relevant,3M_2022_10K,True
"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","For FY2022, there is no information regarding 3M's operating margin change in the provided excerpts. The available excerpt for 3M ([3M_2020_10K_c102]) only details the reconciliation of operating income margins for the years ended December 31, 2020 and 2019.

[3M_2020_10K_c102]","Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348314606741573,0.0,0.7529425024986267,1.0,0.2,0.3333333333333333,False,domain-relevant,3M_2022_10K,True
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",Not enough information in the provided context.,The consumer segment shrunk by 0.9% organically.,5,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.1333333333333333,0.0,0.1193578094244003,0.0,0.0,0.0,False,novel-generated,3M_2022_10K,True
"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","Not enough information in the provided context. The excerpts do not contain financial data for Q2 of FY2023, nor do they provide a quick ratio or explicitly state that the quick ratio is irrelevant to measuring liquidity.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1290322580645161,0.0,0.3691967129707336,0.0,0.2,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,Not enough information in the provided context.,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0,0.0739579051733017,0.0,0.0,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Does 3M maintain a stable trend of dividend distribution?,"Yes, 3M maintains a stable trend of dividend distribution.
[3M_2016_10K_c69]
[3M_2017_10K_c84]
[3M_2016_10K_c160]
[3M_2015_10K_c63]","Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years",5,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.1224489795918367,0.0,0.7668387293815613,1.0,0.0,0.0,False,novel-generated,3M_2023Q2_10Q,True
What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,0 [AES_2018_10K_c288],0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5579892992973328,1.0,0.2,0.3333333333333333,False,domain-relevant,AES_2022_10K,True
Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,"Not enough information in the provided context.

The excerpts provide inventory balances for 2015, 2016, and 2019 through 2022 (specifically $630 million for 2016 and $675 million for 2015), but they do not contain the Cost of Goods Sold (COGS) or Sales figures required to calculate the inventory turnover ratio. Additionally, the excerpts do not explicitly state whether conventional inventory management is meaningful for AES Corporation.",AES has converted inventory 9.5 times in FY 2022.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.5251145958900452,0.0,0.4,0.0,False,domain-relevant,AES_2022_10K,True
