experiment,axis,note,chunk_strategy,k,embedding_model,generation_model,gen_minutes,abstained,dropped_contexts,n_all,n_answerable,minutes,all.recall@1_mean,all.recall@1_std,all.recall@1_median,all.recall@1_min,all.recall@1_max,all.recall@3_mean,all.recall@3_std,all.recall@3_median,all.recall@3_min,all.recall@3_max,all.recall@5_mean,all.recall@5_std,all.recall@5_median,all.recall@5_min,all.recall@5_max,all.recall@10_mean,all.recall@10_std,all.recall@10_median,all.recall@10_min,all.recall@10_max,all.mrr_mean,all.mrr_std,all.mrr_median,all.mrr_min,all.mrr_max,all.rouge_l_mean,all.rouge_l_std,all.rouge_l_median,all.rouge_l_min,all.rouge_l_max,all.exact_match_mean,all.exact_match_std,all.exact_match_median,all.exact_match_min,all.exact_match_max,all.semantic_similarity_mean,all.semantic_similarity_std,all.semantic_similarity_median,all.semantic_similarity_min,all.semantic_similarity_max,all.citation_precision_mean,all.citation_precision_std,all.citation_precision_median,all.citation_precision_min,all.citation_precision_max,all.citation_recall_mean,all.citation_recall_std,all.citation_recall_median,all.citation_recall_min,all.citation_recall_max,all.citation_f1_mean,all.citation_f1_std,all.citation_f1_median,all.citation_f1_min,all.citation_f1_max,answerable.recall@1_mean,answerable.recall@1_std,answerable.recall@1_median,answerable.recall@1_min,answerable.recall@1_max,answerable.recall@3_mean,answerable.recall@3_std,answerable.recall@3_median,answerable.recall@3_min,answerable.recall@3_max,answerable.recall@5_mean,answerable.recall@5_std,answerable.recall@5_median,answerable.recall@5_min,answerable.recall@5_max,answerable.recall@10_mean,answerable.recall@10_std,answerable.recall@10_median,answerable.recall@10_min,answerable.recall@10_max,answerable.mrr_mean,answerable.mrr_std,answerable.mrr_median,answerable.mrr_min,answerable.mrr_max,answerable.rouge_l_mean,answerable.rouge_l_std,answerable.rouge_l_median,answerable.rouge_l_min,answerable.rouge_l_max,answerable.exact_match_mean,answerable.exact_match_std,answerable.exact_match_median,answerable.exact_match_min,answerable.exact_match_max,answerable.semantic_similarity_mean,answerable.semantic_similarity_std,answerable.semantic_similarity_median,answerable.semantic_similarity_min,answerable.semantic_similarity_max,answerable.citation_precision_mean,answerable.citation_precision_std,answerable.citation_precision_median,answerable.citation_precision_min,answerable.citation_precision_max,answerable.citation_recall_mean,answerable.citation_recall_std,answerable.citation_recall_median,answerable.citation_recall_min,answerable.citation_recall_max,answerable.citation_f1_mean,answerable.citation_f1_std,answerable.citation_f1_median,answerable.citation_f1_min,answerable.citation_f1_max,all.precision@1_mean,all.precision@1_std,all.precision@1_median,all.precision@1_min,all.precision@1_max,all.precision@3_mean,all.precision@3_std,all.precision@3_median,all.precision@3_min,all.precision@3_max,all.precision@5_mean,all.precision@5_std,all.precision@5_median,all.precision@5_min,all.precision@5_max,all.precision@10_mean,all.precision@10_std,all.precision@10_median,all.precision@10_min,all.precision@10_max,answerable.precision@1_mean,answerable.precision@1_std,answerable.precision@1_median,answerable.precision@1_min,answerable.precision@1_max,answerable.precision@3_mean,answerable.precision@3_std,answerable.precision@3_median,answerable.precision@3_min,answerable.precision@3_max,answerable.precision@5_mean,answerable.precision@5_std,answerable.precision@5_median,answerable.precision@5_min,answerable.precision@5_max,answerable.precision@10_mean,answerable.precision@10_std,answerable.precision@10_median,answerable.precision@10_min,answerable.precision@10_max,prompt,retrieval_mode,metadata_filter,rerank_pool,all.num_retrieved_mean,all.num_retrieved_std,all.num_retrieved_median,all.num_examples,answerable.num_retrieved_mean,answerable.num_retrieved_std,answerable.num_retrieved_median,answerable.num_examples,all.numeric_agreement_mean,all.numeric_agreement_std,all.numeric_agreement_median,all.numeric_agreement_min,all.numeric_agreement_max,all.numeric_agreement_n,answerable.numeric_agreement_mean,answerable.numeric_agreement_std,answerable.numeric_agreement_median,answerable.numeric_agreement_min,answerable.numeric_agreement_max,answerable.numeric_agreement_n
baseline,reference,"512-token chunks, bge-base embeddings, k=5, Qwen3.5-4B generator",fixed_512_overlap64,5,BAAI/bge-base-en-v1.5,Qwen3.5-4B,18.8,102.0,0.0,150,114,18.9,0.1766666666666666,0.3715407186202357,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.36,0.467464961181997,0.0,0.0,1.0,0.36,0.467464961181997,0.0,0.0,1.0,0.2497037037037036,0.370590900663294,0.0,0.0,1.0,0.0870804244606364,0.1173091423033633,0.0510071474983755,0.0,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.275716052763164,0.2637726001051595,0.1477126777172088,-0.0452316552400589,0.940690815448761,0.3266666666666666,0.470565369887976,0.0,0.0,1.0,0.164,0.2528442234702661,0.0,0.0,1.0,0.1621957671957672,0.2977446546728802,0.0,0.0,1.0,0.2324561403508772,0.4110198010076515,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.4561403508771929,0.4822577960979178,0.0,0.0,1.0,0.4561403508771929,0.4822577960979178,0.0,0.0,1.0,0.32270955165692,0.3960172028253736,0.0,0.0,1.0,0.0999254257388937,0.1272675278426731,0.0630272952853597,0.0,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.3290040193354351,0.2795488115592343,0.1920979171991348,-0.0214317925274372,0.940690815448761,0.4298245614035088,0.4972365802478048,0.0,0.0,1.0,0.2070175438596491,0.2738513576033002,0.0,0.0,1.0,0.2134154831523252,0.3253723103647417,0.0,0.0,1.0,0.1933333333333333,0.3962350781246724,0.0,0.0,1.0,0.1888888888888888,0.2848830278335325,0.0,0.0,1.0,0.1746666666666666,0.262457837244568,0.0,0.0,1.0,0.0873333333333333,0.131228918622284,0.0,0.0,0.5,0.2543859649122807,0.4374383093552033,0.0,0.0,1.0,0.2426900584795321,0.3049415622379707,0.0,0.0,1.0,0.2263157894736842,0.2809757434745081,0.0,0.0,1.0,0.1131578947368421,0.140487871737254,0.0,0.0,0.5,default,dense,False,,,,,,,,,,0.07079646017699115,0.25648454418034405,0.0,0.0,1.0,113.0,0.09523809523809523,0.2935435239509036,0.0,0.0,1.0,84.0
chunk_256,chunk_size,halves the chunk to 256 tokens with proportional overlap,fixed_256_overlap32,5,BAAI/bge-base-en-v1.5,Qwen3.5-4B,10.6,105.0,0.0,150,114,11.1,0.1222222222222222,0.3211803980994031,0.0,0.0,1.0,0.1777777777777777,0.372761360079718,0.0,0.0,1.0,0.2144444444444444,0.3996347449933701,0.0,0.0,1.0,0.2144444444444444,0.3996347449933701,0.0,0.0,1.0,0.1544074074074074,0.326100561506024,0.0,0.0,1.0,0.0895300105003169,0.1191628242796118,0.0579831932773109,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0.0,0.267270934532086,0.2658584041348178,0.1361582428216933,-0.0452315360307693,0.9113142490386964,0.2866666666666667,0.4537194039702841,0.0,0.0,1.0,0.1773333333333333,0.2585833026024447,0.0,0.0,1.0,0.1517724867724868,0.2913934412419562,0.0,0.0,1.0,0.1608187134502924,0.3602207783090352,0.0,0.0,1.0,0.2339181286549707,0.4122743703687352,0.0,0.0,1.0,0.2821637426900584,0.4373914771892852,0.0,0.0,1.0,0.2821637426900584,0.4373914771892852,0.0,0.0,1.0,0.203167641325536,0.3608685890840079,0.0,0.0,1.0,0.1009352679823486,0.1280187827024444,0.0657327586206896,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0.0,0.3062371067179922,0.2786008101826391,0.1669688597321509,-0.0214320309460163,0.9113142490386964,0.3684210526315789,0.4845060963795715,0.0,0.0,1.0,0.2017543859649123,0.2667345822535458,0.0,0.0,1.0,0.1919033695349484,0.3136772090559868,0.0,0.0,1.0,0.1333333333333333,0.3410734469243656,0.0,0.0,1.0,0.1066666666666666,0.2482451459709448,0.0,0.0,1.0,0.0906666666666666,0.2054122280809742,0.0,0.0,1.0,0.0453333333333333,0.1027061140404871,0.0,0.0,0.5,0.175438596491228,0.3820210353075884,0.0,0.0,1.0,0.1403508771929824,0.2765667333542493,0.0,0.0,1.0,0.1192982456140351,0.2284527382747107,0.0,0.0,1.0,0.0596491228070175,0.1142263691373553,0.0,0.0,0.5,default,dense,False,,,,,,,,,,0.07964601769911504,0.2707443989518293,0.0,0.0,1.0,113.0,0.10714285714285714,0.3092947870658709,0.0,0.0,1.0,84.0
chunk_structure,chunk_size,segments on document structure instead of a fixed token window,structure,5,BAAI/bge-base-en-v1.5,Qwen3.5-4B,20.3,108.0,6.0,150,114,21.0,0.1855555555555555,0.3771713999979131,0.0,0.0,1.0,0.3255555555555556,0.452162203984813,0.0,0.0,1.0,0.3744444444444444,0.46299960083713,0.0,0.0,1.0,0.3744444444444444,0.46299960083713,0.0,0.0,1.0,0.2580925925925926,0.3732436618669041,0.0,0.0,1.0,0.0887388194737321,0.1177221764597627,0.0588235294117647,0.0,0.588235294117647,0.0,0.0,0.0,0.0,0.0,0.2763299922831356,0.2654378445898189,0.1472269669175147,-0.0452315360307693,0.8945020437240601,0.2866666666666667,0.4537194039702841,0.0,0.0,1.0,0.184,0.2585659990001125,0.0,0.0,1.0,0.1498941798941798,0.2858951622974812,0.0,0.0,1.0,0.2441520467836257,0.4161086674033627,0.0,0.0,1.0,0.4195906432748538,0.4730871311897217,0.0,0.0,1.0,0.4751461988304093,0.4772259112556867,0.5,0.0,1.0,0.4751461988304093,0.4772259112556867,0.5,0.0,1.0,0.3332358674463938,0.3970488083047143,0.1833333333333333,0.0,1.0,0.1023995094191721,0.1281790597578809,0.063508064516129,0.0,0.588235294117647,0.0,0.0,0.0,0.0,0.0,0.3213845235458983,0.2778900748738891,0.1908177509903907,-0.0214320309460163,0.8945020437240601,0.3684210526315789,0.4845060963795715,0.0,0.0,1.0,0.2140350877192982,0.2774336221281774,0.1,0.0,1.0,0.1922166527429685,0.3121491893021206,0.0,0.0,1.0,0.2066666666666666,0.4062707575147798,0.0,0.0,1.0,0.2088888888888888,0.3197376503494028,0.0,0.0,1.0,0.2066666666666666,0.3007075920697906,0.0,0.0,1.0,0.1033333333333333,0.1503537960348953,0.0,0.0,0.5,0.2719298245614035,0.4469184107063475,0.0,0.0,1.0,0.2719298245614034,0.3422574990000918,0.0,0.0,1.0,0.2666666666666666,0.3211336850251264,0.2,0.0,1.0,0.1333333333333333,0.1605668425125632,0.1,0.0,0.5,default,dense,False,,,,,,,,,,0.07964601769911504,0.2707443989518293,0.0,0.0,1.0,113.0,0.10714285714285714,0.3092947870658709,0.0,0.0,1.0,84.0
embed_minilm,embedding_model,384-dim MiniLM against the 768-dim bge-base baseline,fixed_512_overlap64,5,all-MiniLM-L6-v2,,,,,150,114,0.5,0.1133333333333333,0.3127420762609056,0.0,0.0,1.0,0.25,0.424698866865428,0.0,0.0,1.0,0.3,0.4487118026965577,0.0,0.0,1.0,0.3,0.4487118026965577,0.0,0.0,1.0,0.1846666666666666,0.3245229390301226,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940871174602458,0.0734257775685815,0.0908511430025099,-0.0525801591575145,0.4865747988224029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491228070175438,0.3515441572825304,0.0,0.0,1.0,0.3289473684210526,0.4600353361207585,0.0,0.0,1.0,0.3947368421052631,0.4772417255944272,0.0,0.0,1.0,0.3947368421052631,0.4772417255944272,0.0,0.0,1.0,0.2429824561403508,0.3529472394968502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921531343268916,0.0777868706398876,0.0850636810064315,-0.0525801591575145,0.4865747988224029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3260501875972696,0.0,0.0,1.0,0.1355555555555555,0.2622016195346665,0.0,0.0,1.0,0.1253333333333333,0.2288537725644964,0.0,0.0,1.0,0.0626666666666666,0.1144268862822482,0.0,0.0,0.5,0.1578947368421052,0.3662521827757252,0.0,0.0,1.0,0.1783625730994152,0.288009561465215,0.0,0.0,1.0,0.1649122807017544,0.2499495369035361,0.0,0.0,1.0,0.0824561403508772,0.124974768451768,0.0,0.0,0.5,,dense,False,,,,,,,,,,,,,,,,,,,,,
filtered_meta,retrieval_filter,"reference retrieval, restricted to the company named in the question",fixed_512_overlap64,5,BAAI/bge-base-en-v1.5,Qwen3.5-4B,24.0,95.0,0.0,150,114,24.2,0.1966666666666666,0.3868534031846632,0.0,0.0,1.0,0.3577777777777777,0.4600268376497448,0.0,0.0,1.0,0.4,0.4760952285695233,0.0,0.0,1.0,0.4,0.4760952285695233,0.0,0.0,1.0,0.2763703703703703,0.3807702485323039,0.0,0.0,1.0,0.0909473962572957,0.1366878031908226,0.0490816019271303,0.0,1.0,0.0066666666666666,0.0813770374382246,0.0,0.0,1.0,0.2953834727096061,0.2719000229582994,0.156694583594799,-0.0452316552400589,1.0000001192092896,0.3533333333333333,0.4796064755241043,0.0,0.0,1.0,0.164,0.2386426943580503,0.0,0.0,1.0,0.1657671957671957,0.2928345391789927,0.0,0.0,1.0,0.2587719298245614,0.4252576934974039,0.0,0.0,1.0,0.4532163742690058,0.4732146976407931,0.25,0.0,1.0,0.5087719298245614,0.4820572513696171,0.5,0.0,1.0,0.5087719298245614,0.4820572513696171,0.5,0.0,1.0,0.3577972709551656,0.4016261814343261,0.25,0.0,1.0,0.1050135465239719,0.1500506788049234,0.0553571428571428,0.0,1.0,0.0087719298245614,0.0932468930941636,0.0,0.0,1.0,0.3548822034754905,0.284397793594987,0.2263410687446594,-0.0214317925274372,1.0000001192092896,0.4649122807017544,0.5009694064706258,0.0,0.0,1.0,0.2052631578947368,0.257228972501863,0.0,0.0,1.0,0.218114731272626,0.3186730286476124,0.0,0.0,1.0,0.2133333333333333,0.4110335094141323,0.0,0.0,1.0,0.2133333333333333,0.3023152026115329,0.0,0.0,1.0,0.1959999999999999,0.2785099374078048,0.0,0.0,1.0,0.0979999999999999,0.1392549687039024,0.0,0.0,0.5,0.2807017543859649,0.451325911514035,0.0,0.0,1.0,0.2748538011695907,0.320537939055302,0.1666666666666666,0.0,1.0,0.2543859649122807,0.2954343887081556,0.2,0.0,1.0,0.1271929824561403,0.1477171943540778,0.1,0.0,0.5,default,filtered,True,,5.0,0.0,5.0,150.0,5.0,0.0,5.0,114.0,0.07964601769911504,0.2707443989518293,0.0,0.0,1.0,113.0,0.10714285714285714,0.3092947870658709,0.0,0.0,1.0,84.0
gen_gemma,generation_model,"same retrieval as baseline, larger different-family generator",fixed_512_overlap64,5,BAAI/bge-base-en-v1.5,gemma-4-12B,47.3,112.0,0.0,150,114,47.6,0.1766666666666666,0.3715407186202357,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.36,0.467464961181997,0.0,0.0,1.0,0.36,0.467464961181997,0.0,0.0,1.0,0.2497037037037036,0.370590900663294,0.0,0.0,1.0,0.0842126727598308,0.1380231711972163,0.0394174757281553,0.0,1.0,0.0066666666666666,0.0816496580927725,0.0,0.0,1.0,0.216110679016759,0.2383621596094595,0.1270366311073302,-0.0452316552400589,1.0,0.24,0.4285138983438291,0.0,0.0,1.0,0.1053333333333333,0.1920523791341732,0.0,0.0,1.0,0.1088359788359788,0.239614813994574,0.0,0.0,1.0,0.2324561403508772,0.4110198010076515,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.4561403508771929,0.4822577960979178,0.0,0.0,1.0,0.4561403508771929,0.4822577960979178,0.0,0.0,1.0,0.32270955165692,0.3960172028253736,0.0,0.0,1.0,0.096343667844638,0.1525190562194495,0.0421472937000887,0.0,1.0,0.0087719298245614,0.0936585811581694,0.0,0.0,1.0,0.2527596198528874,0.2616082850491811,0.1353789195418357,-0.0214317925274372,1.0,0.3157894736842105,0.4668817567173435,0.0,0.0,1.0,0.1298245614035088,0.2111619034766793,0.0,0.0,1.0,0.1432052353104984,0.265972615750944,0.0,0.0,1.0,0.1933333333333333,0.3962350781246724,0.0,0.0,1.0,0.1888888888888888,0.2848830278335325,0.0,0.0,1.0,0.1746666666666666,0.262457837244568,0.0,0.0,1.0,0.0873333333333333,0.131228918622284,0.0,0.0,0.5,0.2543859649122807,0.4374383093552033,0.0,0.0,1.0,0.2426900584795321,0.3049415622379707,0.0,0.0,1.0,0.2263157894736842,0.2809757434745081,0.0,0.0,1.0,0.1131578947368421,0.140487871737254,0.0,0.0,0.5,default,dense,False,,,,,,,,,,0.07079646017699115,0.25648454418034405,0.0,0.0,1.0,113.0,0.09523809523809523,0.29354352395090366,0.0,0.0,1.0,84.0
hybrid,retrieval_filter,reference retrieval fused with BM25 lexical search (RRF),fixed_512_overlap64,5,BAAI/bge-base-en-v1.5,,,,,150,114,1.2,0.1011111111111111,0.2946810777921611,0.0,0.0,1.0,0.2277777777777777,0.408894704591783,0.0,0.0,1.0,0.2944444444444444,0.4426113390039443,0.0,0.0,1.0,0.2944444444444444,0.4426113390039443,0.0,0.0,1.0,0.1725925925925925,0.3110055061168156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940871376544236,0.07342577078895,0.0908510722219943,-0.0525801479816436,0.4865743517875671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242690058479532,0.3219375061569962,0.0,0.0,1.0,0.2909356725146199,0.4416890145783564,0.0,0.0,1.0,0.3786549707602339,0.468939412845635,0.0,0.0,1.0,0.3786549707602339,0.468939412845635,0.0,0.0,1.0,0.2183235867446394,0.331880379622754,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921531599341777,0.077786853516451,0.085063625127077,-0.0525801479816436,0.4865743517875671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1133333333333333,0.3180618036828199,0.0,0.0,1.0,0.1333333333333333,0.2619265512886156,0.0,0.0,1.0,0.1333333333333333,0.2324848747816449,0.0,0.0,1.0,0.0666666666666666,0.1162424373908224,0.0,0.0,0.5,0.1403508771929824,0.3488842641593122,0.0,0.0,1.0,0.1725146198830409,0.2881891932257964,0.0,0.0,1.0,0.1736842105263158,0.2531404981109986,0.0,0.0,1.0,0.0868421052631579,0.1265702490554993,0.0,0.0,0.5,,hybrid,False,,,,,,,,,,,,,,,,,,,,,
k_10,retrieval_k,"more passages, higher recall ceiling at the cost of prompt noise",fixed_512_overlap64,10,BAAI/bge-base-en-v1.5,,,,,150,114,0.5,0.1766666666666666,0.3715407186202357,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.36,0.467464961181997,0.0,0.0,1.0,0.4066666666666667,0.4790464054900896,0.0,0.0,1.0,0.2558505291005291,0.3688471886549767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940871174602458,0.0734257775685815,0.0908511430025099,-0.0525801591575145,0.4865747988224029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324561403508772,0.4110198010076515,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.4561403508771929,0.4822577960979178,0.0,0.0,1.0,0.5043859649122807,0.4865246723367926,0.5,0.0,1.0,0.3293842244500139,0.3933600756389693,0.1339285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921531343268916,0.0777868706398876,0.0850636810064315,-0.0525801591575145,0.4865747988224029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933333333333333,0.3962350781246724,0.0,0.0,1.0,0.1888888888888888,0.2848830278335325,0.0,0.0,1.0,0.1746666666666666,0.262457837244568,0.0,0.0,1.0,0.1493333333333333,0.2266614027550377,0.0,0.0,0.8,0.2543859649122807,0.4374383093552033,0.0,0.0,1.0,0.2426900584795321,0.3049415622379707,0.0,0.0,1.0,0.2263157894736842,0.2809757434745081,0.0,0.0,1.0,0.1921052631578947,0.2439152387385179,0.1,0.0,0.8,,dense,False,,,,,,,,,,,,,,,,,,,,,
k_3,retrieval_k,"fewer passages, less context but less distraction",fixed_512_overlap64,3,BAAI/bge-base-en-v1.5,,,,,150,114,0.1,0.1766666666666666,0.3715407186202357,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.3244444444444444,0.4535824204926434,0.0,0.0,1.0,0.2409259259259259,0.3724486031606228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940871376544236,0.07342577078895,0.0908510722219943,-0.0525801479816436,0.4865743517875671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324561403508772,0.4110198010076515,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.4093567251461988,0.4735586478550521,0.0,0.0,1.0,0.3111598440545809,0.4003982337068618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921531599341777,0.077786853516451,0.085063625127077,-0.0525801479816436,0.4865743517875671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933333333333333,0.3962350781246724,0.0,0.0,1.0,0.1888888888888888,0.2848830278335325,0.0,0.0,1.0,0.1133333333333333,0.1709298167001195,0.0,0.0,0.6,0.0566666666666666,0.0854649083500597,0.0,0.0,0.3,0.2543859649122807,0.4374383093552033,0.0,0.0,1.0,0.2426900584795321,0.3049415622379707,0.0,0.0,1.0,0.1456140350877193,0.1829649373427824,0.0,0.0,0.6,0.0728070175438596,0.0914824686713912,0.0,0.0,0.3,,dense,False,,,,,,,,,,,,,,,,,,,,,
prompt_derive,prompting,"reference retrieval, prompt permits deriving figures and showing arithmetic",fixed_512_overlap64,5,BAAI/bge-base-en-v1.5,Qwen3.5-4B,25.4,100.0,0.0,150,114,25.6,0.1766666666666666,0.3703001785338783,0.0,0.0,1.0,0.3244444444444444,0.4520679507538279,0.0,0.0,1.0,0.36,0.465904138924164,0.0,0.0,1.0,0.36,0.465904138924164,0.0,0.0,1.0,0.2497037037037036,0.3693535319312224,0.0,0.0,1.0,0.0754467679151438,0.1066327185422,0.0535756995933987,0.0,0.9197080291970804,0.0,0.0,0.0,0.0,0.0,0.2806877825409174,0.2597032809292279,0.1625117808580398,-0.0452316552400589,0.96281898021698,0.36,0.4816080447052688,0.0,0.0,1.0,0.26,0.2928682503798199,0.2,0.0,1.0,0.2126984126984127,0.3338066766571278,0.0,0.0,1.0,0.2324561403508772,0.409213111817484,0.0,0.0,1.0,0.4093567251461988,0.4714770613040087,0.0,0.0,1.0,0.4561403508771929,0.4801379713475091,0.0,0.0,1.0,0.4561403508771929,0.4801379713475091,0.0,0.0,1.0,0.32270955165692,0.394276459440965,0.0,0.0,1.0,0.0838150805569765,0.1158122155134838,0.0597547380156075,0.0,0.9197080291970804,0.0,0.0,0.0,0.0,0.0,0.3292259303852916,0.2717239157889494,0.2222348600625991,-0.0162163730710744,0.96281898021698,0.4736842105263157,0.5015114556044243,0.0,0.0,1.0,0.3228070175438597,0.2992720039357153,0.2,0.0,1.0,0.2798663324979114,0.3577168408645816,0.0,0.0,1.0,0.1933333333333333,0.3962350781246724,0.0,0.0,1.0,0.1888888888888888,0.2848830278335325,0.0,0.0,1.0,0.1746666666666666,0.262457837244568,0.0,0.0,1.0,0.0873333333333333,0.131228918622284,0.0,0.0,0.5,0.2543859649122807,0.4374383093552033,0.0,0.0,1.0,0.2426900584795321,0.3049415622379707,0.0,0.0,1.0,0.2263157894736842,0.2809757434745081,0.0,0.0,1.0,0.1131578947368421,0.140487871737254,0.0,0.0,0.5,derive,dense,False,,5.0,0.0,5.0,150.0,5.0,0.0,5.0,114.0,0.08849557522123894,0.2840142749713489,0.0,0.0,1.0,113.0,0.11904761904761904,0.3238445359222725,0.0,0.0,1.0,84.0
