question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,,$1577.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1493975669145584,0.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,,$8.70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.147842451930046,0.0,0.0,0.0,False,metrics-generated,3M_2018_10K,True
Is 3M a capital-intensive business based on FY2022 data?,,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0157673824578523,0.0,0.0,0.0,False,domain-relevant,3M_2022_10K,True
"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",,"Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0161106251180171,0.0,0.0,0.0,False,domain-relevant,3M_2022_10K,True
"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",,The consumer segment shrunk by 0.9% organically.,5,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,0,0.0,0.1177653446793556,0.0,0.0,0.0,False,novel-generated,3M_2022_10K,True
"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",,"No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0454485900700092,0.0,0.0,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0640954375267028,0.0,0.0,0.0,False,domain-relevant,3M_2023Q2_10Q,True
Does 3M maintain a stable trend of dividend distribution?,,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years",5,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0,0.0,0.0289991721510887,0.0,0.0,0.0,False,novel-generated,3M_2023Q2_10Q,True
What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3660400807857513,0.0,0.0,0.0,False,domain-relevant,AES_2022_10K,True
Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,,AES has converted inventory 9.5 times in FY 2022.,5,0.0,0.0,0.0,0.0,0.5,0.4,0.5,0.4,0.125,0,0.0,0.0732836499810218,0.0,0.0,0.0,False,domain-relevant,AES_2022_10K,True
"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",,-0.02,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1545457541942596,0.0,0.0,0.0,False,metrics-generated,AES_2022_10K,True
What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,,93.86,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1527999490499496,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,,30.8%,5,0.0,0.0,1.0,0.3333333333333333,1.0,0.6,1.0,0.6,0.5,0,0.0,0.1528991460800171,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",,$11588.00,5,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.2,0.5,0,0.0,0.1503340750932693,0.0,0.0,0.0,False,metrics-generated,AMAZON_2019_10K,True
What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,,$1616.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0972010344266891,0.0,0.0,0.0,False,metrics-generated,AMCOR_2020_10K,True
